Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",153.83,2.8,+1.85%,156.3,153.46,87558000,2023-03-06
ABBV,"Abbvie Inc",155.28,-0.78,-0.50%,156.46,154.54,4051800,2023-03-06
ABT,"Abbott Laboratories",102.75,-1.7,-1.63%,104.6,102.63,5005100,2023-03-06
ACN,"Accenture Plc",269.63,0.43,+0.16%,272.05,269.08,1649100,2023-03-06
ADBE,"Adobe Systems Inc",347.02,2.98,+0.87%,351.77,344.28,3060300,2023-03-06
AIG,"American International Group",60.34,0.14,+0.23%,60.55,59.91,4597200,2023-03-06
AMD,"Adv Micro Devices",81.16,-0.36,-0.44%,83.3,81.04,54541199,2023-03-06
AMGN,"Amgen Inc",235.11,0.3,+0.13%,235.63,233.64,2591000,2023-03-06
AMT,"American Tower Corp",198.57,-3.93,-1.94%,204.16,198.14,1788900,2023-03-06
AMZN,"Amazon.com Inc",93.75,-1.15,-1.21%,96.54,93.74,52112301,2023-03-06
AVGO,"Broadcom Ltd",632.92,0.16,+0.03%,644.05,631.73,2498200,2023-03-06
AXP,"American Express Company",179.06,-0.03,-0.02%,180.51,178.46,2730900,2023-03-06
BA,"Boeing Company",211.92,-3.19,-1.48%,214.75,209.6,7004400,2023-03-06
BAC,"Bank of America Corp",34.09,-0.07,-0.20%,34.56,33.99,36646602,2023-03-06
BK,"Bank of New York Mellon Corp",51.14,-0.19,-0.37%,51.84,51.08,4328500,2023-03-06
BKNG,"Booking Holdings Inc",2613.43,-6.97,-0.27%,2626.46,2574.66,447900,2023-03-06
BLK,"Blackrock Inc",688.39,-6.85,-0.99%,698.79,687.56,543300,2023-03-06
BMY,"Bristol-Myers Squibb Company",68.9,-0.4,-0.58%,69.66,68.73,7000200,2023-03-06
BRK.B,"Berkshire Hathaway Cl B",316.97,4.52,+1.45%,317.29,312.43,4892300,2023-03-06
C,"Citigroup Inc",52.18,-0.17,-0.32%,52.45,52.01,12693199,2023-03-06
CAT,"Caterpillar Inc",253.98,-1.33,-0.52%,255.7,251.58,2317000,2023-03-06
CHTR,"Charter Communications Inc",369.11,-0.87,-0.24%,373.14,367.22,800500,2023-03-06
CL,"Colgate-Palmolive Company",73.29,-0.66,-0.89%,74.04,73.22,3001500,2023-03-06
CMCSA,"Comcast Corp A",37.08,-0.15,-0.40%,37.63,37.01,12422101,2023-03-06
COF,"Capital One Financial Corp",108.5,-1.28,-1.17%,110.26,108.09,1758600,2023-03-06
COP,Conocophillips,109.56,0.92,+0.85%,109.6,107.1,6201000,2023-03-06
COST,"Costco Wholesale",483.08,7.82,+1.65%,488.82,475.52,3104700,2023-03-06
CRM,"Salesforce Inc",183.8,-2.63,-1.41%,189,183.63,10770200,2023-03-06
