Symbol,ReportType,FilingDate,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining
AAPL,10-K,2012-10-31,579,294,649,313,28,283,271
AAPL,10-K,2013-10-30,626,281,661,333,28,289,279
AAPL,10-K,2014-10-27,636,300,675,351,28,306,288
AAPL,10-K,2015-10-28,621,302,674,340,27,322,282
AAPL,10-K,2016-10-26,607,289,664,327,28,319,274
AAPL,10-K,2017-11-03,618,297,689,325,28,345,281
AAPL,10-K,2018-11-05,630,289,642,337,24,350,264
AAPL,10-K,2019-10-31,599,210,519,307,14,266,250
AAPL,10-K,2020-10-30,627,208,541,291,16,296,265
AAPL,10-K,2021-10-29,640,212,463,303,17,245,248
AAPL,10-K,2022-10-28,619,200,455,278,12,241,241
NVDA,10-K,2013-03-12,1336,488,992,773,50,519,370
NVDA,10-K,2014-03-13,1036,435,889,528,52,454,347
NVDA,10-K,2015-03-12,745,313,577,447,38,281,267
NVDA,10-K,2016-03-17,818,345,622,414,48,324,311
NVDA,10-K,2017-03-01,786,335,595,387,44,313,309
NVDA,10-K,2018-02-28,703,363,519,410,36,274,260
NVDA,10-K,2019-02-21,721,326,515,444,29,270,242
NVDA,10-K,2020-02-20,693,314,515,392,24,282,247
NVDA,10-K,2021-02-26,809,326,728,413,42,361,280
NVDA,10-K,2022-03-18,852,361,745,456,35,409,334
NVDA,10-K,2023-02-24,1006,358,827,485,36,482,381
